occ,description
8060,"Heat treating equipment setters, operators, and tenders, metal and plastic"
8100,"Layout workers, metal and plastic"
8120,"Plating and coating machine setters, operators, and tenders, metal and plastic"
8130,"Tool grinders, filers, and sharpeners"
8140,"Metal workers and plastic workers, all other"
8150,Prepress technicians and workers
8160,Printing press operators
8200,Print binding and finishing workers
8210,Laundry and dry-cleaning workers
8220,"Pressers, textile, garment, and related materials"
8250,Sewing machine operators
8255,Shoe and leather workers and repairers
8256,Shoe machine operators and tenders
8300,"Tailors, dressmakers, and sewers"
8310,Textile bleaching and dyeing machine operators and tenders
8320,"Textile cutting machine setters, operators, and tenders"
8330,"Textile knitting and weaving machine setters, operators, and tenders"
8340,"Textile winding, twisting, and drawing out machine setters, operators, and tenders"
8350,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers"
8360,Fabric and apparel patternmakers
8400,Upholsterers
8410,"Textile, apparel, and furnishings workers, all other"
8420,Cabinetmakers and bench carpenters
8430,Furniture finishers
8440,"Model makers and patternmakers, wood"
8450,"Sawing machine setters, operators, and tenders, wood"
8460,"Woodworking machine setters, operators, and tenders, except sawing"
8500,"Woodworkers, all other"
8510,"Power plant operators, distributors, and dispatchers"
8520,Stationary engineers and boiler operators
8530,Water and wastewater treatment plant and system operators
8540,Miscellaneous plant and system operators
8550,"Chemical processing machine setters, operators, and tenders"
8600,"Crushing, grinding, polishing, mixing, and blending workers"
8610,Cutting workers
8620,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders"
8630,"Furnace, kiln, oven, drier, and kettle operators and tenders"
8640,"Inspectors, testers, sorters, samplers, and weighers"
8650,Jewelers and precious stone and metal workers
8710,"Medical, dental, and ophthalmic laboratory technicians"
8720,Packaging and filling machine operators and tenders
8730,Painting workers
8740,Photographic process workers and processing machine operators
8750,Semiconductor processors
8760,Adhesive bonding machine operators and tenders
8800,"Cleaning, washing, and metal pickling equipment operators and tenders"
8810,Cooling and freezing equipment operators and tenders
8830,Etchers and engravers
8840,"Molders, shapers, and casters, except metal and plastic"
8850,"Paper goods machine setters, operators, and tenders"
8860,Tire builders
8900,Helpers--production workers
8910,"Production workers, all other"
8920,Transportation and Material Moving Occupations:
8930,Transportation Occupations:
8940,Supervisors of transportation and material moving workers
8950,Aircraft pilots and flight engineers
8965,Air traffic controllers and airfield operations specialists
9000,Bus drivers
9030,Driver/sales workers and truck drivers
9040,Taxi drivers and chauffeurs
9050,"Motor vehicle operators, all other"
9110,Locomotive engineers and operators
9120,"Railroad brake, signal, and switch operators"
9130,Railroad conductors and yardmasters
9140,"Subway, streetcar, and other rail transportation workers"
9150,Sailors and marine oilers
9200,Ship and boat captains and operators
9230,Ship engineers
9240,Bridge and lock tenders
9260,Parking lot attendants
9300,Automotive and watercraft service attendants
9310,Transportation inspectors
9330,"Transportation attendants, except flight attendants"
9340,Other transportation workers
9350,Material Moving Occupations:
9360,Conveyor operators and tenders
9410,Crane and tower operators
9415,"Dredge, excavating, and loading machine operators"
9420,Hoist and winch operators
9500,Cleaners of vehicles and equipment
9510,"Laborers and freight, stock, and material movers, hand"
9520,Machine feeders and offbearers
9560,"Packers and packagers, hand"
9600,Pumping station operators
9610,Refuse and recyclable material collectors
9620,Mine shuttle car operators
9630,"Tank car, truck, and ship loaders"
9640,"Material moving workers, all other"
9650,Military officer special and tactical operations leaders
9720,First-line enlisted military supervisors
9730,Military enlisted tactical operations and air/weapons specialists and crew members
9740,"Military, rank not specified"
9750,"Unemployed, with no work experience in the last 5 years or earlier or never worked"
9800,
9810,
9820,
9830,
9920,
