fips,nchs
29169,5
29171,6
29173,5
29175,5
29177,2
29179,6
29181,6
29183,2
29185,6
29186,6
29187,5
29189,2
29195,5
29197,6
29199,6
29201,5
29203,6
29205,6
29207,6
29209,6
29211,6
29213,6
29215,6
29217,6
29219,2
29221,6
29223,6
29225,3
29227,6
29229,6
29510,1
30001,6
30003,6
30005,6
30007,6
30009,6
30011,6
30013,4
30015,6
30017,6
30019,6
30021,6
30023,5
30025,6
30027,6
30029,5
30031,5
30033,6
30035,6
30037,6
30039,6
30041,5
30043,6
30045,6
30047,6
30049,5
30051,6
30053,6
30055,6
30057,6
30059,6
30061,6
30063,5
30065,6
30067,6
30069,6
30071,6
30073,6
30075,6
30077,6
30079,6
30081,6
30083,6
30085,6
30087,6
30089,6
30091,6
30093,5
30095,6
30097,6
30099,6
30101,6
30103,6
30105,6
30107,6
30109,6
30111,4
31001,5
31003,6
31005,6
31007,6
31009,6
31011,6
31013,6
31015,6
31017,6
31019,5
31021,6
31023,6
31025,3
31027,6
31029,6
31031,6
31033,6
31035,6
31037,6
31039,6
31041,6
31043,4
31045,6
31047,6
31049,6
31051,6
31053,5
31055,3
31057,6
31059,6
31061,6
31063,6
31065,6
31067,5
31069,6
31071,6
31073,6
31075,6
31077,6
31079,5
31081,6
31083,6
31085,6
31087,6
31089,6
31091,6
31093,6
31095,6
31097,6
31099,6
31101,6
31103,6
31105,6
31107,6
31109,4
31111,5
31113,6
31115,6
31117,6
31119,5
31121,6
31123,6
31125,6
31127,6
31129,6
31131,6
31133,6
31135,6
31137,6
31139,6
31141,5
31143,6
31145,6
31147,6
31149,6
31151,6
31153,3
31155,6
31157,5
31159,6
31161,6
31163,6
31165,6
31167,6
31169,6
31171,6
31173,6
31175,6
31177,3
31179,6
31181,6
31183,6
31185,6
32001,6
32003,3
32005,6
32007,5
32009,6
32011,6
32013,6
32015,6
32017,6
32019,6
32021,6
32023,3
32027,6
32029,6
32031,3
32033,6
32510,5
33001,5
33003,6
33005,5
33007,5
33009,5
33011,2
33013,5
33015,2
33017,3
33019,5
34001,3
34003,2
34005,2
34007,1
34009,3
34011,4
34013,1
34015,2
34017,1
34019,2
34021,3
34023,2
34025,2
34027,2
34029,2
34031,2
34033,2
34035,2
34037,2
34039,1
34041,2
35001,3
35003,6
35005,5
35006,6
35007,6
35009,5
35011,6
35013,4
35015,5
35017,5
35019,6
35021,6
35023,6
35025,5
35027,6
35028,4
35029,5
35031,5
35033,6
35035,5
35037,6
35039,6
35041,5
35043,3
35045,5
35047,5
35049,4
35051,6
35053,6
35055,6
35057,6
35059,6
35061,3
36001,3
36003,6
36005,1
36007,3
36009,5
36011,3
36013,4
36015,4
36017,6
36019,5
36021,6
36023,5
36025,6
36027,3
36029,1
36031,6
36033,6
36035,5
36037,2
36039,6
36041,6
36043,3
36045,5
36047,1
36049,6
36051,2
36053,3
36055,1
36057,3
36059,2
36061,1
36063,2
36065,3
36067,3
36069,2
36071,3
36073,2
36075,3
36077,5
36079,2
36081,1
36083,3
36085,1
36087,2
36089,5
36091,3
36093,3
36095,3
36097,6
36099,5
36101,5
36103,2
36105,6
36107,3
36109,5
36111,5
36113,4
36115,4
36117,2
36119,2
36121,6
36123,6
37001,4
37003,3
37005,6
37007,6
37009,6
37011,6
37013,6
37015,6
37017,6
37019,4
37021,4
37023,3
37025,2
37027,3
37029,5
37031,6
37033,6
37035,3
37037,3
37039,6
37041,6
37043,6
37045,5
37047,6
37049,5
37051,3
37053,2
37055,6
37057,3
37059,3
37061,6
37063,3
37065,4
37067,3
37069,3
37071,2
37073,6
37075,6
37077,6
37079,6
37081,3
37083,5
37085,6
37087,6
37089,6
37091,6
37093,6
37095,6
37097,5
37099,6
37101,3
37103,6
37105,5
37107,5
37109,2
37111,6
37113,6
37115,4
37117,6
37119,1
37121,6
37123,6
37125,6
37127,4
37129,4
37131,6
37133,4
37135,3
37137,6
37139,5
37141,6
37143,6
37145,6
37147,4
37149,6
37151,3
37153,6
37155,5
37157,5
37159,2
37161,6
37163,6
37165,5
37167,5
37169,3
37171,6
37173,6
37175,6
37177,6
37179,2
37181,5
37183,3
37185,6
37187,6
37189,5
37191,4
37193,6
37195,5
37197,3
37199,6
38001,6
38003,6
38005,6
38007,6
38009,6
38011,6
38013,6
38015,4
38017,4
38019,6
38021,6
38023,6
38025,6
38027,6
38029,6
38031,6
38033,6
38035,4
38037,6
38039,6
38041,6
38043,6
38045,6
38047,6
38049,6
38051,6
38053,6
38055,6
38057,6
38059,4
38061,6
38063,6
38065,6
38067,6
38069,6
38071,6
38073,6
38075,6
38077,6
38079,6
38081,6
38083,6
38085,6
38087,6
38089,5
38091,6
38093,5
38095,6
38097,6
38099,6
38101,5
38103,6
38105,5
39001,6
39003,4
39005,5
39007,2
39009,5
39011,4
39013,4
39015,2
39017,2
39019,3
39021,5
39023,3
39025,2
39027,5
39029,3
39031,5
39033,4
39035,1
39037,5
39039,5
39041,2
39043,5
39045,2
39047,5
39049,1
39051,3
39053,6
39055,2
39057,3
39059,5
39061,1
39063,5
39065,6
39067,6
39069,6
39071,6
39073,6
39075,6
39077,5
39079,6
39081,4
39083,5
39085,2
39087,3
39089,2
39091,5
39093,2
39095,3
39097,2
39099,3
39101,5
39103,2
39105,6
39107,6
39109,3
39111,6
39113,3
39115,6
39117,6
39119,5
39121,6
39123,6
39125,6
39127,6
39129,2
39131,6
39133,3
39135,6
39137,6
39139,4
39141,5
39143,5
39145,5
39147,5
39149,5
39151,3
39153,3
39155,3
39157,5
39159,5
39161,5
39163,6
39165,2
39167,4
39169,5
39171,6
39173,3
39175,6
40001,6
40003,6
40005,6
40007,6
40009,5
40011,6
40013,5
40015,6
40017,3
40019,5
40021,5
40023,6
40025,6
40027,3
40029,6
40031,4
40033,6
40035,6
40037,3
40039,5
40041,6
40043,6
40045,6
40047,4
40049,6
40051,5
40053,6
40055,6
40057,6
40059,6
40061,6
40063,6
40065,5
40067,6
40069,6
40071,5
40073,6
40075,6
40077,6
40079,6
40081,6
40083,3
40085,6
40087,3
40089,6
40091,6
40093,6
40095,6
40097,6
40099,6
40101,5
40103,6
40105,6
40107,6
40109,3
40111,5
40113,3
40115,5
40117,6
40119,5
40121,5
40123,5
40125,3
40127,6
40129,6
40131,3
40133,6
40135,4
40137,5
40139,6
40141,6
40143,3
40145,3
40147,5
40149,6
40151,6
40153,5
41001,6
41003,5
41005,2
41007,5
41009,2
41011,5
41013,6
41015,6
41017,5
41019,5
41021,6
41023,6
41025,6
41027,6
41029,4
41031,6
41033,5
41035,5
41037,6
41039,3
41041,6
41043,5
41045,6
41047,3
41049,6
41051,1
41053,3
41055,6
41057,6
41059,5
41061,5
41063,6
41065,5
41067,2
41069,6
41071,2
42001,6
42003,1
42005,6
42007,2
42009,6
42011,3
42013,4
42015,6
42017,2
42019,2
42021,4
42023,6
42025,3
42027,4
42029,2
42031,6
42033,6
42035,6
42037,3
42039,5
42041,3
42043,3
42045,2
42047,6
42049,3
42051,2
42053,6
42055,5
42057,6
42059,6
42061,6
42063,5
42065,6
42067,6
42069,3
42071,3
42073,5
42075,3
42077,3
42079,3
42081,4
42083,6
42085,4
42087,6
42089,6
42091,2
42093,6
